alternative,profile,method,score
Diesel,TOPSIS_economic,fuzzy_topsis,9.7921674392236e-06
PV+Battery,TOPSIS_economic,fuzzy_topsis,0.999986717510015
PV+Battery+Diesel,TOPSIS_economic,fuzzy_topsis,0.28166551635940423
PV+Diesel,TOPSIS_economic,fuzzy_topsis,0.3631965585539179
Diesel,TOPSIS_economic,vikor,0.8478667549653851
PV+Battery,TOPSIS_economic,vikor,0.0
PV+Battery+Diesel,TOPSIS_economic,vikor,0.7427619903953384
PV+Diesel,TOPSIS_economic,vikor,0.9078571602099078
Diesel,TOPSIS_economic,topsis,0.28062210228234286
PV+Battery,TOPSIS_economic,topsis,0.6517528112055009
PV+Battery+Diesel,TOPSIS_economic,topsis,0.45164885944607525
PV+Diesel,TOPSIS_economic,topsis,0.44179632560169335
Diesel,TOPSIS_sustainable,fuzzy_topsis,1.8133955888180968e-06
PV+Battery,TOPSIS_sustainable,fuzzy_topsis,0.9999975402372461
PV+Battery+Diesel,TOPSIS_sustainable,fuzzy_topsis,0.28165866377300647
PV+Diesel,TOPSIS_sustainable,fuzzy_topsis,0.3631908131381348
Diesel,TOPSIS_sustainable,vikor,0.5824065907257507
PV+Battery,TOPSIS_sustainable,vikor,0.0
PV+Battery+Diesel,TOPSIS_sustainable,vikor,0.5688127012311412
PV+Diesel,TOPSIS_sustainable,vikor,0.9078571602099078
Diesel,TOPSIS_sustainable,topsis,0.08282466216404914
PV+Battery,TOPSIS_sustainable,topsis,0.8908244933042074
PV+Battery+Diesel,TOPSIS_sustainable,topsis,0.3168975802947077
PV+Diesel,TOPSIS_sustainable,topsis,0.31083276825749984
Diesel,TOPSIS_resilient,fuzzy_topsis,9.791696768491831e-06
PV+Battery,TOPSIS_resilient,fuzzy_topsis,0.9999867181484516
PV+Battery+Diesel,TOPSIS_resilient,fuzzy_topsis,0.28166798301553364
PV+Diesel,TOPSIS_resilient,fuzzy_topsis,0.36318795901608825
Diesel,TOPSIS_resilient,vikor,0.9514659136413557
PV+Battery,TOPSIS_resilient,vikor,0.0
PV+Battery+Diesel,TOPSIS_resilient,vikor,0.7426058261706101
PV+Diesel,TOPSIS_resilient,vikor,0.9078571602099078
Diesel,TOPSIS_resilient,topsis,0.12178195062761629
PV+Battery,TOPSIS_resilient,topsis,0.841519273279588
PV+Battery+Diesel,TOPSIS_resilient,topsis,0.35604028964964923
PV+Diesel,TOPSIS_resilient,topsis,0.2517670968214619
